Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-25T15:23:04,64786,2563,18971
Guangdong,Mainland China,2020-02-25T08:53:02,1347,7,822
Henan,Mainland China,2020-02-25T12:43:02,1271,19,1002
Zhejiang,Mainland China,2020-02-25T09:13:05,1205,1,808
Hunan,Mainland China,2020-02-25T15:03:05,1016,4,768
Anhui,Mainland China,2020-02-25T06:33:02,989,6,712
Jiangxi,Mainland China,2020-02-25T15:03:05,934,1,683
Shandong,Mainland China,2020-02-25T12:53:02,756,6,355
Jiangsu,Mainland China,2020-02-25T00:53:02,631,0,458
Chongqing,Mainland China,2020-02-25T23:23:03,576,6,372
Sichuan,Mainland China,2020-02-25T15:03:05,529,3,289
Heilongjiang,Mainland China,2020-02-25T15:23:04,480,12,243
Beijing,Mainland China,2020-02-25T01:33:02,400,4,215
Shanghai,Mainland China,2020-02-25T06:33:02,336,3,268
Hebei,Mainland China,2020-02-25T12:43:02,311,6,248
Fujian,Mainland China,2020-02-25T10:03:07,294,1,199
Guangxi,Mainland China,2020-02-25T10:03:07,252,2,134
Shaanxi,Mainland China,2020-02-25T15:23:04,245,1,186
Yunnan,Mainland China,2020-02-25T04:53:02,174,2,129
Hainan,Mainland China,2020-02-25T12:53:02,168,5,124
Guizhou,Mainland China,2020-02-25T08:03:07,146,2,104
Tianjin,Mainland China,2020-02-25T15:23:04,135,3,91
Shanxi,Mainland China,2020-02-25T23:13:03,133,0,98
Liaoning,Mainland China,2020-02-25T00:23:03,121,1,83
Jilin,Mainland China,2020-02-25T15:23:04,93,1,63
Gansu,Mainland China,2020-02-24T15:13:07,91,2,80
Hong Kong,Hong Kong,2020-02-25T09:43:02,84,2,19
Xinjiang,Mainland China,2020-02-24T15:03:05,76,2,30
Inner Mongolia,Mainland China,2020-02-25T23:53:02,75,0,35
Ningxia,Mainland China,2020-02-25T03:53:02,71,0,61
Macau,Macau,2020-02-25T15:23:04,10,0,7
Tibet,Mainland China,2020-02-12T06:43:02,1,0,1
OtherProvince,China,2020-02-12T06:43:02,12950,102,8687
,ForeignCountry,2020-02-25T08:13:19,2679,43,247
Hubei,Mainland China,02-25,56249,0,5623
OtherProvince,China,02-25,12466,0,3676
/,ForeignCountry,02-25,317,0,96
Hubei,Mainland China,02-25,31728,0,2222
OtherProvince,China,02-25,10778,0,1697
/,ForeignCountry,02-25,257,0,27
Hubei,Mainland China,02-25,31728,0,2222
OtherProvince,China,02-25,10778,0,1697
/,ForeignCountry,02-25,257,0,27
Hubei,Mainland China,02-25,62442,0,11788
OtherProvince,China,02-25,12658,0,6227
/,ForeignCountry,02-25,1099,0,162
Hubei,Mainland China,02-25,62442,0,11788
OtherProvince,China,02-25,12658,0,6227
/,ForeignCountry,02-25,1099,0,162
Hubei,Mainland China,02-25,62442,0,11788
OtherProvince,China,02-25,12658,0,6227
/,ForeignCountry,02-25,1099,0,162
Hubei,Mainland China,02-25,62435,0,11788
OtherProvince,China,02-25,12650,0,6227
/,ForeignCountry,02-25,1092,0,162
Hubei,Mainland China,02-25,62435,0,11788
OtherProvince,China,02-25,12650,0,6227
/,ForeignCountry,02-25,1092,0,162
Hubei,Mainland China,02-25,58160,0,6634
OtherProvince,China,02-25,12687,0,4112
/,ForeignCountry,02-25,328,0,105
