Province/State,Country/Rigeon,Last Update,Confirmed,Death,Recovered
Hubei,Mainland China,03-01,56249,0,5623
OtherProvince,China,03-01,12466,0,3676
/,ForeignCountry,03-01,317,0,96
Hubei,Mainland China,03-01,31728,0,2222
OtherProvince,China,03-01,10778,0,1697
/,ForeignCountry,03-01,257,0,27
Hubei,Mainland China,03-01,31728,0,2222
OtherProvince,China,03-01,10778,0,1697
/,ForeignCountry,03-01,257,0,27
Hubei,Mainland China,03-01,64786,0,18971
OtherProvince,China,03-01,12950,0,8687
/,ForeignCountry,03-01,2679,0,247
Hubei,Mainland China,03-01,64786,0,18971
OtherProvince,China,03-01,12950,0,8687
/,ForeignCountry,03-01,2679,0,247
Hubei,Mainland China,03-01,64778,0,18971
OtherProvince,China,03-01,12943,0,8687
/,ForeignCountry,03-01,2669,0,246
