Province/State,Country/Rigeon,Last Update,Confirmed,Death,Recovered
Hubei,Mainland China,03-04,56249,0,5623
OtherProvince,China,03-04,12466,0,3676
/,ForeignCountry,03-04,317,0,96
Hubei,Mainland China,03-04,64786,0,18971
OtherProvince,China,03-04,12950,0,8687
/,ForeignCountry,03-04,2679,0,247
Hubei,Mainland China,03-04,64786,0,18971
OtherProvince,China,03-04,12950,0,8687
/,ForeignCountry,03-04,2679,0,247
Hubei,Mainland China,03-04,64771,0,18968
OtherProvince,China,03-04,12940,0,8684
/,ForeignCountry,03-04,2663,0,242
