Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-13T14:13:06,48206,1310,3459
Guangdong,Mainland China,2020-02-13T13:33:01,1241,2,314
Henan,Mainland China,2020-02-13T14:53:02,1169,10,296
Zhejiang,Mainland China,2020-02-13T14:13:06,1145,0,360
Hunan,Mainland China,2020-02-13T11:53:02,968,2,339
Anhui,Mainland China,2020-02-13T13:33:01,910,5,157
Jiangxi,Mainland China,2020-02-13T01:13:08,872,1,170
Jiangsu,Mainland China,2020-02-13T10:33:23,570,0,139
Chongqing,Mainland China,2020-02-13T23:23:05,529,4,128
Shandong,Mainland China,2020-02-13T13:33:01,509,2,105
Sichuan,Mainland China,2020-02-13T13:33:01,451,1,104
Heilongjiang,Mainland China,2020-02-13T12:13:06,395,9,33
Beijing,Mainland China,2020-02-13T14:13:06,366,3,69
Shanghai,Mainland China,2020-02-13T06:13:15,315,1,62
Fujian,Mainland China,2020-02-13T10:33:23,279,0,57
Hebei,Mainland China,2020-02-13T10:33:23,265,3,68
Shaanxi,Mainland China,2020-02-13T10:33:23,229,0,46
Guangxi,Mainland China,2020-02-13T00:23:10,222,2,33
Diamond Princess cruise ship,Others,2020-02-12T04:23:38,175,0,0
Hainan,Mainland China,2020-02-13T10:43:03,157,4,30
Yunnan,Mainland China,2020-02-13T08:43:08,156,0,27
Guizhou,Mainland China,2020-02-13T10:33:23,135,1,27
Shanxi,Mainland China,2020-02-13T23:23:05,126,0,36
Tianjin,Mainland China,2020-02-13T23:43:02,119,3,21
Liaoning,Mainland China,2020-02-13T14:33:02,117,1,22
Gansu,Mainland China,2020-02-13T15:53:03,90,2,39
Jilin,Mainland China,2020-02-13T13:33:01,84,1,24
Ningxia,Mainland China,2020-02-13T01:23:08,64,0,24
Xinjiang,Mainland China,2020-02-13T10:33:23,63,1,6
Inner Mongolia,Mainland China,2020-02-13T01:23:08,61,0,6
Hong Kong,Hong Kong,2020-02-13T14:53:02,53,1,1
Qinghai,Mainland China,2020-02-13T08:43:08,18,0,11
Taiwan,Taiwan,2020-02-09T09:13:11,18,0,1
Macau,Macau,2020-02-13T14:13:06,10,0,3
OtherProvince,China,2020-02-13T14:13:06,11881,59,2758
,ForeignCountry,2020-02-13T14:33:02,283,2,78
Hubei,Mainland China,02-13,31728,0,2222
OtherProvince,China,02-13,10778,0,1697
/,ForeignCountry,02-13,257,0,27
Hubei,Mainland China,02-13,31728,0,2222
OtherProvince,China,02-13,10778,0,1697
/,ForeignCountry,02-13,257,0,27
Hubei,Mainland China,02-13,31728,0,2222
OtherProvince,China,02-13,10778,0,1697
/,ForeignCountry,02-13,257,0,27
Hubei,Mainland China,02-13,31726,0,2223
OtherProvince,China,02-13,10775,0,1698
/,ForeignCountry,02-13,253,0,28
