Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-18T23:13:11,61682,1921,9128
Guangdong,Mainland China,2020-02-18T13:43:02,1328,4,565
Henan,Mainland China,2020-02-18T14:23:02,1257,19,522
Zhejiang,Mainland China,2020-02-18T12:23:02,1172,0,535
Hunan,Mainland China,2020-02-18T13:43:02,1007,4,527
Anhui,Mainland China,2020-02-18T13:43:02,982,6,361
Jiangxi,Mainland China,2020-02-18T01:33:01,933,1,310
Jiangsu,Mainland China,2020-02-18T12:33:02,629,0,280
Chongqing,Mainland China,2020-02-18T23:23:03,555,5,254
Shandong,Mainland China,2020-02-18T12:13:08,543,3,211
Diamond Princess cruise ship,Others,2020-02-18T16:53:03,542,0,0
Sichuan,Mainland China,2020-02-18T12:33:02,508,3,169
Heilongjiang,Mainland China,2020-02-18T11:03:12,464,11,111
Beijing,Mainland China,2020-02-18T02:13:06,387,4,122
Shanghai,Mainland China,2020-02-18T05:03:08,333,1,177
Hebei,Mainland China,2020-02-18T23:53:01,306,4,136
Fujian,Mainland China,2020-02-18T09:43:08,292,0,93
Guangxi,Mainland China,2020-02-18T12:33:02,242,2,69
Shaanxi,Mainland China,2020-02-18T14:23:02,240,0,89
Yunnan,Mainland China,2020-02-18T09:43:08,172,0,57
Hainan,Mainland China,2020-02-18T10:43:02,163,4,79
Guizhou,Mainland China,2020-02-18T13:33:02,146,2,66
Shanxi,Mainland China,2020-02-18T23:23:03,131,0,61
Tianjin,Mainland China,2020-02-18T13:53:02,128,3,48
Liaoning,Mainland China,2020-02-18T12:53:02,121,1,53
Gansu,Mainland China,2020-02-18T14:53:02,91,2,62
Jilin,Mainland China,2020-02-18T07:43:02,89,1,36
Xinjiang,Mainland China,2020-02-18T01:03:15,76,1,12
Inner Mongolia,Mainland China,2020-02-18T02:03:06,73,0,8
Ningxia,Mainland China,2020-02-18T10:23:03,70,0,42
Hong Kong,Hong Kong,2020-02-18T23:43:02,62,1,2
Taiwan,Taiwan,2020-02-17T15:43:02,22,1,2
Qinghai,Mainland China,2020-02-18T07:43:02,18,0,15
Macau,Macau,2020-02-16T12:03:06,10,0,5
OtherProvince,China,2020-02-16T12:03:06,13092,83,5079
,ForeignCountry,2020-02-18T16:53:03,364,3,145
Hubei,Mainland China,02-18,56249,0,5623
OtherProvince,China,02-18,12466,0,3676
/,ForeignCountry,02-18,317,0,96
Hubei,Mainland China,02-18,31728,0,2222
OtherProvince,China,02-18,10778,0,1697
/,ForeignCountry,02-18,257,0,27
Hubei,Mainland China,02-18,31728,0,2222
OtherProvince,China,02-18,10778,0,1697
/,ForeignCountry,02-18,257,0,27
Hubei,Mainland China,02-18,58182,0,6640
OtherProvince,China,02-18,12705,0,4118
/,ForeignCountry,02-18,339,0,110
Hubei,Mainland China,02-18,58182,0,6640
OtherProvince,China,02-18,12705,0,4118
/,ForeignCountry,02-18,339,0,110
Hubei,Mainland China,02-18,56246,0,5624
OtherProvince,China,02-18,12463,0,3677
/,ForeignCountry,02-18,313,0,97
Hubei,Mainland China,02-18,54403,0,4774
OtherProvince,China,02-18,12182,0,3204
/,ForeignCountry,02-18,288,0,80
