Province/State,Country/Rigeon,Last Update,Confirmed,Death,Recovered
Hubei,Mainland China,02-28,56249,0,5623
OtherProvince,China,02-28,12466,0,3676
/,ForeignCountry,02-28,317,0,96
Hubei,Mainland China,02-28,31728,0,2222
OtherProvince,China,02-28,10778,0,1697
/,ForeignCountry,02-28,257,0,27
Hubei,Mainland China,02-28,31728,0,2222
OtherProvince,China,02-28,10778,0,1697
/,ForeignCountry,02-28,257,0,27
Hubei,Mainland China,02-28,64786,0,18971
OtherProvince,China,02-28,12950,0,8687
/,ForeignCountry,02-28,2679,0,247
Hubei,Mainland China,02-28,64786,0,18971
OtherProvince,China,02-28,12950,0,8687
/,ForeignCountry,02-28,2679,0,247
Hubei,Mainland China,02-28,64782,0,18972
OtherProvince,China,02-28,12946,0,8688
/,ForeignCountry,02-28,2674,0,248
