Province/State,Country/Rigeon,Last Update,Confirmed,Death,Recovered
Hubei,Mainland China,03-06,56249,0,5623
OtherProvince,China,03-06,12466,0,3676
/,ForeignCountry,03-06,317,0,96
Hubei,Mainland China,03-06,64786,0,18971
OtherProvince,China,03-06,12950,0,8687
/,ForeignCountry,03-06,2679,0,247
Hubei,Mainland China,03-06,64786,0,18971
OtherProvince,China,03-06,12950,0,8687
/,ForeignCountry,03-06,2679,0,247
Hubei,Mainland China,03-06,64762,0,18964
OtherProvince,China,03-06,12937,0,8682
/,ForeignCountry,03-06,2659,0,238
