Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,1/30/20 16:00,4903,162,90
Zhejiang,Mainland China,1/30/20 16:00,428,,4
Guangdong,Mainland China,1/30/20 16:00,354,,10
Henan,Mainland China,1/30/20 16:00,278,2,2
Hunan,Mainland China,1/30/20 16:00,277,,2
Anhui,Mainland China,1/30/20 16:00,200,,2
Chongqing,Mainland China,1/30/20 16:00,182,,1
Jiangxi,Mainland China,1/30/20 16:00,162,,5
Shandong,Mainland China,1/30/20 16:00,158,,1
Sichuan,Mainland China,1/30/20 16:00,142,1,1
Jiangsu,Mainland China,1/30/20 16:00,129,,1
Beijing,Mainland China,1/30/20 16:00,114,1,4
Shanghai,Mainland China,1/30/20 16:00,112,1,5
Fujian,Mainland China,1/30/20 16:00,101,,
Guangxi,Mainland China,1/30/20 16:00,78,,2
Yunnan,Mainland China,1/30/20 16:00,70,,
Hebei,Mainland China,1/30/20 16:00,65,1,
Shaanxi,Mainland China,1/30/20 16:00,63,,
Hainan,Mainland China,1/30/20 16:00,46,1,1
Heilongjiang,Mainland China,1/30/20 16:00,44,2,
Liaoning,Mainland China,1/30/20 16:00,41,,1
Shanxi,Mainland China,1/30/20 16:00,35,,1
Tianjin,Mainland China,1/30/20 16:00,31,,
Gansu,Mainland China,1/30/20 16:00,26,,
Inner Mongolia,Mainland China,1/30/20 16:00,19,,
Ningxia,Mainland China,1/30/20 16:00,17,,
Jilin,Mainland China,1/30/20 16:00,14,,1
Xinjiang,Mainland China,1/30/20 16:00,14,,
Guizhou,Mainland China,1/30/20 16:00,12,,1
Hong Kong,Hong Kong,1/30/20 16:00,10,,
Taiwan,Taiwan,1/30/20 16:00,9,,
Qinghai,Mainland China,1/30/20 16:00,8,,
Macau,Macau,1/30/20 16:00,7,,
Tibet,Mainland China,1/30/20 16:00,1,,
OtherProvince,China,1/30/20 16:00,3247,9,45
,ForeignCountry,1/30/20 16:00,85,,8
