Province/State,Country/Rigeon,Last Update,Confirmed,Death,Recovered
Hubei,Mainland China,02-29,56249,0,5623
OtherProvince,China,02-29,12466,0,3676
/,ForeignCountry,02-29,317,0,96
Hubei,Mainland China,02-29,31728,0,2222
OtherProvince,China,02-29,10778,0,1697
/,ForeignCountry,02-29,257,0,27
Hubei,Mainland China,02-29,31728,0,2222
OtherProvince,China,02-29,10778,0,1697
/,ForeignCountry,02-29,257,0,27
Hubei,Mainland China,02-29,64786,0,18971
OtherProvince,China,02-29,12950,0,8687
/,ForeignCountry,02-29,2679,0,247
Hubei,Mainland China,02-29,64786,0,18971
OtherProvince,China,02-29,12950,0,8687
/,ForeignCountry,02-29,2679,0,247
Hubei,Mainland China,02-29,64780,0,18971
OtherProvince,China,02-29,12944,0,8687
/,ForeignCountry,02-29,2671,0,247
