Province/State,Country/Rigeon,Last Update,Confirmed,Death,Recovered
Hubei,Mainland China,02-27,56249,0,5623
OtherProvince,China,02-27,12466,0,3676
/,ForeignCountry,02-27,317,0,96
Hubei,Mainland China,02-27,31728,0,2222
OtherProvince,China,02-27,10778,0,1697
/,ForeignCountry,02-27,257,0,27
Hubei,Mainland China,02-27,31728,0,2222
OtherProvince,China,02-27,10778,0,1697
/,ForeignCountry,02-27,257,0,27
Hubei,Mainland China,02-27,64786,0,18971
OtherProvince,China,02-27,12950,0,8687
/,ForeignCountry,02-27,2679,0,247
Hubei,Mainland China,02-27,64786,0,18971
OtherProvince,China,02-27,12950,0,8687
/,ForeignCountry,02-27,2679,0,247
Hubei,Mainland China,02-27,62442,0,11788
OtherProvince,China,02-27,12658,0,6227
/,ForeignCountry,02-27,1099,0,162
Hubei,Mainland China,02-27,62442,0,11788
OtherProvince,China,02-27,12658,0,6227
/,ForeignCountry,02-27,1099,0,162
Hubei,Mainland China,02-27,62431,0,11786
OtherProvince,China,02-27,12646,0,6225
/,ForeignCountry,02-27,1090,0,160
Hubei,Mainland China,02-27,62431,0,11786
OtherProvince,China,02-27,12646,0,6225
/,ForeignCountry,02-27,1090,0,160
Hubei,Mainland China,02-27,64786,0,18972
OtherProvince,China,02-27,12950,0,8688
/,ForeignCountry,02-27,2679,0,248
