Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-12T14:13:08,33366,1068,2686
Guangdong,Mainland China,2020-02-12T12:23:09,1219,1,275
Henan,Mainland China,2020-02-12T14:13:08,1135,8,246
Zhejiang,Mainland China,2020-02-12T10:13:20,1131,0,321
Hunan,Mainland China,2020-02-12T12:43:03,946,2,304
Anhui,Mainland China,2020-02-12T10:13:20,889,4,127
Jiangxi,Mainland China,2020-02-12T01:23:06,844,1,152
Jiangsu,Mainland China,2020-02-12T14:13:08,543,0,125
Chongqing,Mainland China,2020-02-12T23:13:08,518,3,102
Shandong,Mainland China,2020-02-12T11:13:05,497,2,92
Sichuan,Mainland China,2020-02-12T12:43:03,436,1,92
Heilongjiang,Mainland China,2020-02-12T14:13:08,378,8,31
Beijing,Mainland China,2020-02-12T02:43:03,352,3,56
Shanghai,Mainland China,2020-02-12T06:23:08,311,1,57
Fujian,Mainland China,2020-02-12T11:53:02,272,0,53
Hebei,Mainland China,2020-02-12T11:13:05,251,2,54
Shaanxi,Mainland China,2020-02-12T11:13:05,225,0,43
Guangxi,Mainland China,2020-02-12T15:03:05,222,1,32
Diamond Princess cruise ship,Others,2020-02-12T04:23:38,175,0,0
Hainan,Mainland China,2020-02-12T17:03:03,157,4,27
Yunnan,Mainland China,2020-02-12T14:13:08,154,0,26
Guizhou,Mainland China,2020-02-12T09:43:02,133,1,18
Shanxi,Mainland China,2020-02-12T23:03:02,126,0,33
Liaoning,Mainland China,2020-02-12T13:33:02,116,1,20
Tianjin,Mainland China,2020-02-12T15:03:05,112,2,11
Gansu,Mainland China,2020-02-12T23:23:01,87,2,31
Jilin,Mainland China,2020-02-12T14:13:08,83,1,22
Inner Mongolia,Mainland China,2020-02-12T11:13:05,60,0,6
Xinjiang,Mainland China,2020-02-12T01:43:02,59,0,3
Ningxia,Mainland China,2020-02-12T11:13:05,58,0,24
Hong Kong,Hong Kong,2020-02-12T09:53:02,50,1,1
Qinghai,Mainland China,2020-02-12T08:03:06,18,0,9
Taiwan,Taiwan,2020-02-09T09:13:11,18,0,1
Macau,Macau,2020-02-12T09:53:02,10,0,2
OtherProvince,China,2020-02-12T09:53:02,11585,49,2396
,ForeignCountry,2020-02-12T19:53:02,271,1,68
Hubei,Mainland China,02-12,31728,0,2222
OtherProvince,China,02-12,10778,0,1697
/,ForeignCountry,02-12,257,0,27
Hubei,Mainland China,02-12,31728,0,2222
OtherProvince,China,02-12,10778,0,1697
/,ForeignCountry,02-12,257,0,27
Hubei,Mainland China,02-12,31728,0,2222
OtherProvince,China,02-12,10778,0,1697
/,ForeignCountry,02-12,257,0,27
Hubei,Mainland China,02-12,31728,0,2223
OtherProvince,China,02-12,10778,0,1698
/,ForeignCountry,02-12,257,0,28
