Province/State,Country/Rigeon,Last Update,Confirmed,Death,Recovered
Hubei,Mainland China,02-26,56249,0,5623
OtherProvince,China,02-26,12466,0,3676
/,ForeignCountry,02-26,317,0,96
Hubei,Mainland China,02-26,31728,0,2222
OtherProvince,China,02-26,10778,0,1697
/,ForeignCountry,02-26,257,0,27
Hubei,Mainland China,02-26,31728,0,2222
OtherProvince,China,02-26,10778,0,1697
/,ForeignCountry,02-26,257,0,27
Hubei,Mainland China,02-26,64786,0,18971
OtherProvince,China,02-26,12950,0,8687
/,ForeignCountry,02-26,2679,0,247
Hubei,Mainland China,02-26,64786,0,18971
OtherProvince,China,02-26,12950,0,8687
/,ForeignCountry,02-26,2679,0,247
Hubei,Mainland China,02-26,62442,0,11788
OtherProvince,China,02-26,12658,0,6227
/,ForeignCountry,02-26,1099,0,162
Hubei,Mainland China,02-26,62442,0,11788
OtherProvince,China,02-26,12658,0,6227
/,ForeignCountry,02-26,1099,0,162
Hubei,Mainland China,02-26,62433,0,11787
OtherProvince,China,02-26,12648,0,6226
/,ForeignCountry,02-26,1091,0,161
Hubei,Mainland China,02-26,62433,0,11787
OtherProvince,China,02-26,12648,0,6226
/,ForeignCountry,02-26,1091,0,161
Hubei,Mainland China,02-26,58152,0,6631
OtherProvince,China,02-26,12682,0,4110
/,ForeignCountry,02-26,327,0,104
Hubei,Mainland China,02-26,64794,0,18971
OtherProvince,China,02-26,12958,0,8687
/,ForeignCountry,02-26,2687,0,247
