Province/State,Country/Rigeon,Last Update,Confirmed,Death,Recovered
Hubei,Mainland China,03-05,56249,0,5623
OtherProvince,China,03-05,12466,0,3676
/,ForeignCountry,03-05,317,0,96
Hubei,Mainland China,03-05,64786,0,18971
OtherProvince,China,03-05,12950,0,8687
/,ForeignCountry,03-05,2679,0,247
Hubei,Mainland China,03-05,64786,0,18971
OtherProvince,China,03-05,12950,0,8687
/,ForeignCountry,03-05,2679,0,247
Hubei,Mainland China,03-05,64767,0,18966
OtherProvince,China,03-05,12939,0,8683
/,ForeignCountry,03-05,2661,0,240
