Province/State,Country/Rigeon,Last Update,Confirmed,Death,Recovered
Hubei,Mainland China,02-17,56249,0,5623
OtherProvince,China,02-17,12466,0,3676
/,ForeignCountry,02-17,317,0,96
Hubei,Mainland China,02-17,31728,0,2222
OtherProvince,China,02-17,10778,0,1697
/,ForeignCountry,02-17,257,0,27
Hubei,Mainland China,02-17,31728,0,2222
OtherProvince,China,02-17,10778,0,1697
/,ForeignCountry,02-17,257,0,27
Hubei,Mainland China,02-17,31728,0,2222
OtherProvince,China,02-17,10778,0,1697
/,ForeignCountry,02-17,257,0,27
Hubei,Mainland China,02-17,31721,0,2222
OtherProvince,China,02-17,10764,0,1695
/,ForeignCountry,02-17,248,0,25
Hubei,Mainland China,02-17,58190,0,6639
OtherProvince,China,02-17,12713,0,4117
/,ForeignCountry,02-17,347,0,109
Hubei,Mainland China,02-17,58190,0,6639
OtherProvince,China,02-17,12713,0,4117
/,ForeignCountry,02-17,347,0,109
Hubei,Mainland China,02-17,56249,0,5624
OtherProvince,China,02-17,12466,0,3677
/,ForeignCountry,02-17,317,0,97
Hubei,Mainland China,02-17,54404,0,4775
OtherProvince,China,02-17,12184,0,3205
/,ForeignCountry,02-17,290,0,81
