Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-24T11:13:09,64287,2495,16748
Guangdong,Mainland China,2020-02-24T10:23:02,1345,6,786
Henan,Mainland China,2020-02-24T13:23:05,1271,19,943
Zhejiang,Mainland China,2020-02-24T09:43:02,1205,1,782
Hunan,Mainland China,2020-02-24T14:13:11,1016,4,731
Anhui,Mainland China,2020-02-24T09:43:02,989,6,663
Jiangxi,Mainland China,2020-02-24T01:23:09,934,1,645
Shandong,Mainland China,2020-02-24T10:23:02,755,5,343
Diamond Princess cruise ship,Others,2020-02-23T22:33:03,691,3,0
Jiangsu,Mainland China,2020-02-24T14:53:02,631,0,452
Chongqing,Mainland China,2020-02-24T23:23:01,576,6,349
Sichuan,Mainland China,2020-02-24T14:13:11,527,3,276
Heilongjiang,Mainland China,2020-02-24T14:53:02,480,12,227
Beijing,Mainland China,2020-02-24T00:53:02,399,4,198
Shanghai,Mainland China,2020-02-24T07:03:06,335,3,261
Hebei,Mainland China,2020-02-24T14:13:11,311,6,234
Fujian,Mainland China,2020-02-24T10:23:02,293,1,183
Guangxi,Mainland China,2020-02-24T06:53:02,251,2,112
Shaanxi,Mainland China,2020-02-24T14:53:02,245,1,173
Yunnan,Mainland China,2020-02-24T23:13:02,174,2,124
Hainan,Mainland China,2020-02-24T14:53:02,168,5,116
Guizhou,Mainland China,2020-02-23T12:43:02,146,2,102
Tianjin,Mainland China,2020-02-24T15:03:05,135,3,87
Shanxi,Mainland China,2020-02-24T23:13:02,133,0,94
Liaoning,Mainland China,2020-02-24T06:53:02,121,1,80
Jilin,Mainland China,2020-02-24T09:43:02,93,1,60
Gansu,Mainland China,2020-02-24T15:13:07,91,2,80
Hong Kong,Hong Kong,2020-02-24T11:23:06,79,2,19
Xinjiang,Mainland China,2020-02-24T15:03:05,76,2,30
Inner Mongolia,Mainland China,2020-02-24T15:03:05,75,0,34
Ningxia,Mainland China,2020-02-24T06:53:02,71,0,58
Taiwan,Taiwan,2020-02-24T10:13:28,30,1,5
Qinghai,Mainland China,2020-02-21T04:43:02,18,0,18
Macau,Macau,2020-02-20T02:13:19,10,0,6
OtherProvince,China,2020-02-20T02:13:19,13674,104,8271
,ForeignCountry,2020-02-24T11:13:10,1609,30,208
Hubei,Mainland China,02-24,56249,0,5623
OtherProvince,China,02-24,12466,0,3676
/,ForeignCountry,02-24,317,0,96
Hubei,Mainland China,02-24,31728,0,2222
OtherProvince,China,02-24,10778,0,1697
/,ForeignCountry,02-24,257,0,27
Hubei,Mainland China,02-24,31728,0,2222
OtherProvince,China,02-24,10778,0,1697
/,ForeignCountry,02-24,257,0,27
Hubei,Mainland China,02-24,62442,0,11788
OtherProvince,China,02-24,12658,0,6227
/,ForeignCountry,02-24,1099,0,162
Hubei,Mainland China,02-24,62442,0,11788
OtherProvince,China,02-24,12658,0,6227
/,ForeignCountry,02-24,1099,0,162
Hubei,Mainland China,02-24,62442,0,11788
OtherProvince,China,02-24,12658,0,6227
/,ForeignCountry,02-24,1099,0,162
Hubei,Mainland China,02-24,62437,0,11788
OtherProvince,China,02-24,12652,0,6227
/,ForeignCountry,02-24,1093,0,162
Hubei,Mainland China,02-24,62437,0,11788
OtherProvince,China,02-24,12652,0,6227
/,ForeignCountry,02-24,1093,0,162
Hubei,Mainland China,02-24,58166,0,6636
OtherProvince,China,02-24,12691,0,4114
/,ForeignCountry,02-24,329,0,106
