Province/State,Country/Rigeon,Last Update,Confirmed,Death,Recovered
Hubei,Mainland China,03-03,56249,0,5623
OtherProvince,China,03-03,12466,0,3676
/,ForeignCountry,03-03,317,0,96
Hubei,Mainland China,03-03,64786,0,18971
OtherProvince,China,03-03,12950,0,8687
/,ForeignCountry,03-03,2679,0,247
Hubei,Mainland China,03-03,64786,0,18971
OtherProvince,China,03-03,12950,0,8687
/,ForeignCountry,03-03,2679,0,247
Hubei,Mainland China,03-03,64774,0,18969
OtherProvince,China,03-03,12941,0,8685
/,ForeignCountry,03-03,2665,0,244
